Key,Korean(ko),English(en),French(fr),Russian(ru),German(de)
Chapter1ClearText,건널목을 건너요 챕터의 안전 보행왕 달성을 축하합니다!,Congratulations on achieving the Safe Pedestrian King title in the Crossing the Crosswalk chapter!,Félicitations pour avoir obtenu le titre de Roi des piétons en sécurité dans le chapitre Traverser le passage pour piétons !,Поздравляем с получением титула «Король безопасных пешеходов» в главе «Пересечение пешеходного перехода»!,Herzlichen Glückwunsch zum Erreichen des Titels „König der Fußgängersicherheit“ im Kapitel „Überqueren des Zebrastreifens“!
Chapter2ClearText,골목길을 건너요 챕터의 안전 보행왕 달성을 축하합니다!,Congratulations on achieving the Safe Pedestrian King title in the Crossing the Alley chapter!,Félicitations pour avoir obtenu le titre de Roi des piétons en sécurité dans le chapitre Crossing the Alley !,Поздравляем с получением титула «Король безопасных пешеходов» в главе «Пересечение переулка»!,Herzlichen Glückwunsch zum Erreichen des Titels „Safe Pedestrian King“ im Kapitel „Crossing the Alley“!
Tutorial,튜토리얼,Tutorial,Tutoriel,Учебник,Lernprogramm
Chapter1,챕터 1,Chapter 1,Chapitre 1,Глава 1,Kapitel 1
Chapter2,챕터 2,Chapter 2,Chapitre 2,Глава 2,Kapitel 2
Chapter3,챕터 3,Chapter 3,Chapitre 3,Глава 3,Kapitel 3
NickName,닉네임,nickname,surnom,прозвище,Spitzname
Ok,확인,check,vérifier,проверять,überprüfen
Exit,나가기,Go out,Sortir,Выходить,Hinausgehen
Start,시작,start,commencer,начинать,Start
Settings,설정,setting,paramètre,параметр,Einstellung
Chapter3Mission,"교통 규칙을 지키지 않고, 뛰는 캐릭터를 잡아보자!",Let's catch the character running without following traffic rules!,Attrapons le personnage en train de courir sans respecter le code de la route !,"Давайте поймаем персонажа, бегущего без соблюдения правил дорожного движения!","Lassen Sie uns die Figur erwischen, die ohne Beachtung der Verkehrsregeln rennt!"
MissedCharacterCount,놓친 캐릭터 수,Number of characters missed,Nombre de caractères manqués,Количество пропущенных символов,Anzahl der fehlenden Zeichen
Success,성공,success,succès,успех,Erfolg
Todo,목표,target,cible,цель,Ziel
DisplaySettings,화면 설정,Screen settings,Paramètres de l'écran,Настройки экрана,Bildschirmeinstellungen
ControlSettings,조작 설정,Operation settings,Paramètres de fonctionnement,Настройки работы,Betriebseinstellungen
SoundSettings,사운드 설정,Sound settings,Paramètres sonores,Настройки звука,Toneinstellungen
GoToMain,메인으로 나가기,Go to main,Aller au principal,Перейти к основному,Gehe zum Hauptmenü
Close,닫기,close,fermer,закрывать,schließen
RenderingScale,렌더링 스케일,Rendering scale,Échelle de rendu,Масштаб рендеринга,Rendering-Skala
ChangeBrightness,밝기 조절,Brightness control,Contrôle de la luminosité,Регулировка яркости,Helligkeitsregelung
Low,낮음,lowness,modicité,низость,Niedrigkeit
High,높음,height,hauteur,высота,Höhe
Dark,어두움,gloominess,tristesse,мрачность,Düsterkeit
Bright,밝음,Brightness,Luminosité,Яркость,Helligkeit
ColorBlindnessOptions,색약 옵션,Colorblind options,Options pour les daltoniens,Варианты для дальтоников,Optionen für Farbenblinde
ResetSettings,설정값 초기화,Reset settings,Réinitialiser les paramètres,Сбросить настройки,Einstellungen zurücksetzen
NoRotation,컨트롤러 회전 사용안함,Disable controller rotation,Désactiver la rotation du contrôleur,Отключить вращение контроллера,Controller-Rotation deaktivieren
FixedAngleRotation,고정각도 회전,Fixed angle rotation,Rotation à angle fixe,Фиксированный угол поворота,Festwinkeldrehung
SmoothRotation,부드러운 회전,Smooth rotation,Rotation en douceur,Плавное вращение,Sanfte Drehung
RotationAngle,회전각도,Rotation angle,Angle de rotation,Угол поворота,Drehwinkel
SmoothRotationSpeed,부드러운 회전 속도,Smooth rotation speed,Vitesse de rotation fluide,Плавная скорость вращения,Gleichmäßige Rotationsgeschwindigkeit
Slow,느림,Slow,Lent,Медленный,Langsam
Fast,빠름,speed,vitesse,скорость,Geschwindigkeit
MasterVolume,전체 음량,Full volume,Volume complet,Полный объем,Volle Lautstärke
BgmVolume,BGM 볼륨,BGM volume,Volume de la musique de fond,Громкость фоновой музыки,BGM-Lautstärke
VoiceVolume,음성 안내 볼륨,Voice guidance volume,Volume du guidage vocal,Громкость голосовых подсказок,Lautstärke der Sprachführung
SfxVolume,효과음 볼륨,Sound effect volume,Volume de l'effet sonore,Громкость звукового эффекта,Lautstärke der Soundeffekte
WhatYourName,당신의 이름은?,What is your name?,Quel est ton nom?,Как вас зовут?,Wie heißt du?
EnterName,이름을 입력해주세요.,Please enter your name.,Veuillez entrer votre nom.,Введите свое имя.,Bitte geben Sie Ihren Namen ein.
NameValidationMessage1,"한글, 영어 대소문자 가능","Korean, English uppercase and lowercase letters are possible",Les lettres majuscules et minuscules coréennes et anglaises sont possibles,Возможны заглавные и строчные буквы корейского и английского языков.,"Koreanische, englische Groß- und Kleinbuchstaben sind möglich"
NameValidationMessage2,여백 불가/초성 불가/최대 8자,No spaces/No initial consonants/Maximum 8 characters,Pas d'espaces/Pas de consonnes initiales/8 caractères maximum,Без пробелов/Без начальных согласных/Максимум 8 символов,Keine Leerzeichen/Keine Anfangskonsonanten/Maximal 8 Zeichen
TutorialCaution,주의 사항,caution,prudence,осторожность,Vorsicht
TutorialCaution1,보호자의 지도 필요,Parental guidance required,Surveillance parentale requise,Требуется родительское руководство,Elterliche Aufsicht erforderlich
TutorialCaution2,"팔 들기, 고개 돌리기 등 큰 동작 조심하기",Be careful of large movements such as lifting your arms or turning your head.,Soyez prudent avec les grands mouvements tels que lever les bras ou tourner la tête.,"Будьте осторожны, делая резкие движения, например, поднимая руки или поворачивая голову.",Seien Sie vorsichtig bei großen Bewegungen wie dem Heben der Arme oder dem Drehen des Kopfes.
TutorialCaution3,어지럼증 시 즉시 중단,Stop immediately if you feel dizzy.,Arrêtez immédiatement si vous vous sentez étourdi.,"Немедленно остановитесь, если почувствуете головокружение.","Hören Sie sofort auf, wenn Ihnen schwindelig wird."
TutorialConfirm,아래 닉네임으로 설정하시겠습니까?,Would you like to set it as the nickname below?,Souhaitez-vous le définir comme surnom ci-dessous ?,Хотите ли вы установить его в качестве псевдонима ниже?,Möchten Sie es unten als Spitznamen festlegen?
Back,이전,Back,Dos,Назад,Zurück
NicknameSetupComplete,닉네임 설정 완료!,Nickname setup complete!,Configuration du pseudo terminée !,Настройка псевдонима завершена!,Einrichtung des Spitznamens abgeschlossen!
MyNickName,내 닉네임,My nickname,Mon surnom,Мой никнейм,Mein Spitzname
FoundFriendCount,찾은 친구 수,Number of friends found,Nombre d'amis trouvés,Количество найденных друзей,Anzahl der gefundenen Freunde
NotFoundFriendCount,찾지 못한 친구 수,Number of friends not found,Nombre d'amis non trouvés,"Количество друзей, которые не найдены",Anzahl der nicht gefundenen Freunde
ColorBlindnessCorrection,색약 보정,Color blindness correction,Correction du daltonisme,Коррекция дальтонизма,Korrektur der Farbenblindheit
ColorBlindnessOff,끔,Off,Désactivé,Выключенный,Aus
ColorBlindnessRed,적색,Red,Rouge,Красный,Rot
ColorBlindnessGreen,녹색,green,vert,зеленый,Grün
ColorBlindnessBlue,청색,blue,bleu,синий,Blau
CompleteInput,입력완료,Input completed,Saisie terminée,Ввод завершен,Eingabe abgeschlossen
Next,다음,next,suivant,следующий,nächste
TutoMoveSwingTip,팔을 휘둘러 캐릭터를 향해 걸어보세요!,Walk towards the character by swinging your arms!,Marchez vers le personnage en balançant vos bras !,"Подойдите к персонажу, размахивая руками!",Gehen Sie mit schwingenden Armen auf die Figur zu!
TutoMoveLookaroundTip,왼쪽 오른쪽을 둘러봐 게이지를 채워봐요!,Look left and right and fill up the gauge!,Regardez à gauche et à droite et remplissez la jauge !,Посмотрите налево и направо и заполните шкалу!,Schauen Sie nach links und rechts und füllen Sie die Anzeige auf!
TutoCrosswalkTip,왼손을 들고 횡단보도를 건너봐요,Raise your left hand and cross the crosswalk.,Levez la main gauche et traversez le passage piéton.,Поднимите левую руку и перейдите пешеходный переход.,Heben Sie Ihre linke Hand und überqueren Sie den Zebrastreifen.
TutorialClearTitle,튜토리얼 클리어!!,Clear the tutorial!!,Terminez le tutoriel !!,Пройдите обучение!!,Schließe das Tutorial ab!!
TutorialClearText,"축하해요! 연습을 모두 마쳤어요!!
이제 안전 보행왕이 되기 위해 다음 챕터로 이동해볼까요?","Congratulations! You've completed all the exercises!! Now, shall we move on to the next chapter to become the safe walking king?",Félicitations ! Vous avez terminé tous les exercices ! Passons maintenant au chapitre suivant pour devenir le roi de la marche en toute sécurité.,"Поздравляю! Вы выполнили все упражнения!! Теперь перейдем к следующей главе, чтобы стать королем безопасной ходьбы?","Herzlichen Glückwunsch! Sie haben alle Übungen abgeschlossen! Gehen wir nun zum nächsten Kapitel über, um der König des sicheren Gehens zu werden?"
Korean,한국어,Korean,coréen,корейский,Koreanisch
English,영어,English,Anglais,Английский,Englisch
French,프랑스어,French,Français,Французский,Französisch
german,독일어,German,Allemand,немецкий,Deutsch
Russian,러시아어,Russian,russe,Русский,Russisch
End,종료,End,Fin,Конец,Ende
Language,언어,language,langue,язык,Sprache
MissionClearText,미션 클리어!!,Mission clear!!,Mission claire !!,Миссия выполнена!!,Mission erledigt!!
MissionLabelText,클리어 한 미션,Cleared mission,Mission terminée,Пройденная миссия,Mission abgeschlossen
