Key,Korean(ko),English(en),Japanese(ja),Chinese (Simplified)(zh),French(fr),Hindi(hi),Russian(ru),German(de)
Sg7_Carprediction_7,"방금처럼 서로 못 보면,진짜 큰일 날 수도 있어.","If we can't see each other like we did just now, we could be in real trouble.",もし今のようにお互いに会えなかったら、本当に困ったことになるかもしれない。,如果我们不能像刚才那样见面，我们可能会有大麻烦。,"Si nous ne pouvons pas nous voir comme nous l'avons fait tout à l'heure, nous pourrions avoir de sérieux problèmes.","यदि हम एक दूसरे से नहीं मिल पाते जैसे कि अभी मिल रहे थे, तो हम सचमुच मुश्किल में पड़ सकते हैं।","Если мы не сможем видеться друг с другом, как сейчас, у нас могут возникнуть серьезные проблемы.","Wenn wir uns nicht mehr so sehen können wie gerade, könnten wir in echte Schwierigkeiten geraten."
Sg7_Carprediction_8,"앞이 안 보이는 길에선,꼭 멈춰서 확인하고 움직여야 해.","On a road where you can't see ahead, you must stop, check, and then move.",前方が見えない道路では、停止して確認してから進まなければなりません。,在看不到前方道路的情况下，您必须停下来，检查，然后行驶。,"Sur une route où vous ne pouvez pas voir devant vous, vous devez vous arrêter, vérifier, puis avancer.","ऐसी सड़क पर जहां आप आगे नहीं देख सकते, आपको रुकना चाहिए, जांच करनी चाहिए और फिर आगे बढ़ना चाहिए।","На дороге, где вы не можете видеть вперед, вам следует остановиться, проверить обстановку, а затем двигаться дальше.","Auf einer Straße, auf der Sie nicht voraussehen können, müssen Sie anhalten, prüfen und dann weiterfahren."
Sg7_Carprediction_9,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?",さて、これから何をするか考えてみましょうか。,那么，我们现在看看该做什么好吗？,"Bon, alors, voyons ce qu’il faut faire maintenant ?","तो फिर, अब हम देखेंगे कि क्या करना है?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
Sg7_Carprediction_10,"봐봐,이 친구는 그냥 나가지 않고 먼저 멈춰서 좌우를 확인했지?","Look, this guy didn't just go out, he stopped first and looked left and right?",ほら、この男はただ外に出たのではなく、まず立ち止まって左右を見たんだ。,你看，这家伙不是直接出去了吗，还先停下来左看看，右看看？,"Regardez, ce type n'est pas simplement sorti, il s'est d'abord arrêté et a regardé à gauche et à droite ?","देखो, यह आदमी बस बाहर नहीं गया, वह पहले रुका और बाएं-दाएं देखने लगा?","Смотрите, этот парень не просто вышел, он сначала остановился и посмотрел налево и направо?","Sehen Sie, dieser Typ ist nicht einfach rausgegangen, er ist erst stehen geblieben und hat nach links und rechts geschaut?"
Sg7_Carprediction_11,"앞이 안 보이는 곳에서는,항상 먼저 멈추고 확인하는 거야. 알겠지?","In places where you can't see ahead, always stop and check first. Okay?",先が見えない場所では、必ず止まって確認しましょう。いいですか？,在看不到前方的地方，一定要先停下来查看。好吗？,"Dans les endroits où vous ne pouvez pas voir devant vous, arrêtez-vous toujours et vérifiez d'abord. D'accord ?","ऐसी जगहों पर जहाँ आप आगे नहीं देख सकते, हमेशा रुकें और पहले जाँच लें। ठीक है?","В местах, где вы не можете видеть вперед, всегда останавливайтесь и проверяйте сначала. Хорошо?","An Stellen, an denen Sie nicht voraussehen können, halten Sie immer an und schauen Sie zuerst nach. Okay?"
Sg7_Carprediction_12,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?",どうですか？これで何をすればいいか分かりましたね？,怎么样？现在你知道该怎么做了吧？,"Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","अब आप समझ गए होंगे कि क्या करना है, है न?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg7_Carprediction_13,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,再び出発して、もう一度挑戦してみましょう!,让我们重新上路，再试一次！,Reprenons la route et essayons à nouveau !,"आइये, पुनः सड़क पर चलें और पुनः प्रयास करें!",Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Str_Look_Beside,양 옆을 살펴요,Look at both sides,両側を見る,看看两边,Regardez les deux côtés,दोनों पक्षों को देखो,Посмотрите на обе стороны,Betrachten Sie beide Seiten
Str_Raise_Hand,손을 머리 높이 올려요,Raise your hands high above your head.,両手を頭の上に高く上げてください。,将双手高举过头顶。,Levez vos mains bien au-dessus de votre tête.,अपने हाथों को अपने सिर से ऊपर उठायें।,Поднимите руки высоко над головой.,Heben Sie Ihre Hände hoch über Ihren Kopf.
Str_Cross_Road,손을 들고 길을 건너 봐요,Raise your hand and cross the street.,手を上げて道を渡ってください。,举起手，过马路。,Levez la main et traversez la rue.,अपना हाथ उठाओ और सड़क पार करो।,Поднимите руку и перейдите улицу.,Heben Sie Ihre Hand und überqueren Sie die Straße.
Str_Hehind_Yellow,노란 안전선 뒤가 안전해요,It's safe behind the yellow safety line.,黄色の安全ラインの後ろは安全です。,黄色安全线内是安全的。,C'est sûr derrière la ligne de sécurité jaune.,यह पीली सुरक्षा रेखा के पीछे सुरक्षित है।,За желтой линией безопасности безопасно.,Hinter der gelben Sicherheitslinie ist es sicher.
Str_Waiting_Greenlight,초록불이 켜질 때까지 기다려요,Wait until the green light turns on.,緑色のライトが点灯するまでお待ちください。,等待绿灯亮起。,Attendez que le voyant vert s'allume.,हरी बत्ती जलने तक प्रतीक्षा करें।,"Подождите, пока не загорится зеленый свет.","Warten Sie, bis das grüne Licht aufleuchtet."
Str_Meeting_Friend,친구를 만나러 가야 해요,I have to go meet a friend,友達に会いに行かなきゃ,我要去见一个朋友,Je dois aller retrouver un ami,मुझे एक दोस्त से मिलने जाना है,Мне нужно встретиться с другом.,Ich muss einen Freund treffen
Ch1_MissionText_0,안전하게 건널목 건너기!,Cross the street safely!,安全に道路を渡ってください!,安全过马路！,Traversez la rue en toute sécurité !,सड़क सुरक्षित पार करें!,Переходите улицу безопасно!,Überqueren Sie die Straße sicher!
Ch1_MissionText_1,우선 멈춰요,"First of all, stop.",まずは止まってください。,首先，停下来。,"Tout d’abord, arrêtez.","सबसे पहले, रुकें.","Прежде всего, остановитесь.",Erstens: Hören Sie auf.
Ch1_MissionText_2,건너기 전 좌우를 살펴요,Look left and right before crossing,横断する前に左右を確認してください,过马路前左右张望,Regardez à gauche et à droite avant de traverser,सड़क पार करने से पहले बाएं और दाएं देखें,"Посмотрите налево и направо, прежде чем перейти дорогу.",Schauen Sie vor dem Überqueren nach links und rechts
Ch1_MissionText_3,손을 들고 횡단해요,Raise your hand and cross the street,手を上げて道を渡ってください,举起手过马路,Levez la main et traversez la rue,अपना हाथ उठाओ और सड़क पार करो,Поднимите руку и перейдите улицу.,Heben Sie Ihre Hand und überqueren Sie die Straße
Ch2_MissionText_0,안전하게 골목길 건너기!,Cross the street safely!,安全に道路を渡ってください!,安全过马路！,Traversez la rue en toute sécurité !,सड़क सुरक्षित पार करें!,Переходите улицу безопасно!,Überqueren Sie die Straße sicher!
Ch2_MissionText_1,건너기 전 좌우를 살펴요,Look left and right before crossing,横断する前に左右を確認してください,过马路前左右张望,Regardez à gauche et à droite avant de traverser,सड़क पार करने से पहले बाएं और दाएं देखें,"Посмотрите налево и направо, прежде чем перейти дорогу.",Schauen Sie vor dem Überqueren nach links und rechts
Ch2_MissionText_2,손을 들고 횡단해요,Raise your hand and cross the street,手を上げて道を渡ってください,举起手过马路,Levez la main et traversez la rue,अपना हाथ उठाओ और सड़क पार करो,Поднимите руку и перейдите улицу.,Heben Sie Ihre Hand und überqueren Sie die Straße
Mini1,이번엔 아주 특별한 체험을 준비했어!,"This time, we've prepared a very special experience!",今回は、とっても特別な体験をご用意しました！,这次，我们准备了非常特别的体验！,"Cette fois-ci, nous vous avons préparé une expérience très spéciale !","इस बार, हमने एक बहुत ही विशेष अनुभव तैयार किया है!",На этот раз мы приготовили нечто совершенно особенное!,Dieses Mal haben wir ein ganz besonderes Erlebnis vorbereitet!
Mini2,차량에는 사각지대라는 게 있대! 얼마나 잘 안 보이는지 직접 확인해보자!,There's something called a blind spot in a car! Let's see for yourself how hard it is to see!,車には死角というものがあります！どれくらい見えにくいか、実際に見てみましょう！,汽车里有个东西叫盲点！让我们亲眼看看它有多难看！,Il y a ce qu'on appelle un angle mort en voiture ! Voyons par vous-même à quel point il est difficile de voir !,कार में एक ब्लाइंड स्पॉट होता है! चलिए खुद ही देख लेते हैं कि इसे देखना कितना मुश्किल है!,"В машине есть нечто, называемое слепой зоной! Давайте сами посмотрим, насколько сложно что-то увидеть!","Es gibt so etwas wie einen toten Winkel im Auto! Überzeugen Sie sich selbst, wie schwer es ist, dort etwas zu sehen!"
Mini3,"사각지대는, 운전자 시야로는 보이지 않는 공간이야.",Blind spots are areas that are not visible to the driver.,死角とは、運転手から見えない領域のことです。,盲点是驾驶员看不见的区域。,Les angles morts sont des zones qui ne sont pas visibles pour le conducteur.,ब्लाइंड स्पॉट ऐसे क्षेत्र होते हैं जो चालक को दिखाई नहीं देते।,"Слепые зоны — это области, которые не видны водителю.","Tote Winkel sind Bereiche, die für den Fahrer nicht sichtbar sind."
Mini4,"창문으로도, 거울로도 잘 안 보여서… 친구가 거기 있으면 정말 위험해.",I can't see very well through the window or the mirror... It's really dangerous if my friend is there.,窓や鏡からよく見えない…友達がそこにいたら本当に危険です。,我无法通过窗户或镜子看得很清楚...如果我的朋友在那里，那就真的很危险。,Je ne vois pas très bien à travers la fenêtre ou le miroir... C'est vraiment dangereux si mon ami est là.,मैं खिड़की या दर्पण से ठीक से नहीं देख सकता... अगर मेरा दोस्त वहां हो तो यह बहुत खतरनाक है।,"Я не очень хорошо вижу через окно или зеркало... Это действительно опасно, если там находится мой друг.","Ich kann durch das Fenster oder den Spiegel nicht gut sehen ... Es ist wirklich gefährlich, wenn mein Freund da ist."
Mini5,"그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!","So from now on, you will see it with your own eyes!",これからはあなた自身の目で確かめてください！,所以从现在开始，你将亲眼看到它！,"Alors à partir de maintenant, vous le verrez de vos propres yeux !","तो अब से, आप इसे अपनी आँखों से देखेंगे!",Так что отныне вы увидите все это своими глазами!,Von nun an werden Sie es mit eigenen Augen sehen!
Mini6,"사각지대가 얼마나 잘 안 보이는지, 간단한 게임으로 직접 느껴볼까?",How about experiencing for yourself how poorly blind spots are seen with a simple game?,簡単なゲームで死角がどのくらい見えにくいかを体験してみませんか？,用一个简单的游戏来亲身体验一下盲点的识别效果有多差怎么样？,Que diriez-vous de découvrir par vous-même à quel point les angles morts sont mal perçus avec un jeu simple ?,आप स्वयं अनुभव करें कि एक साधारण खेल में अंधे स्थानों को कितनी खराब तरह से देखा जा सकता है?,"А как насчет того, чтобы лично убедиться, насколько плохо видны слепые зоны в простой игре?","Wie wäre es, wenn Sie selbst erleben würden, wie schlecht blinde Flecken bei einem einfachen Spiel erkannt werden?"
Mini7,차량 주변에 장난꾸러기 친구들이 숨어 있을 거야! 너가 지목해서 찾아내면 돼!,There will be mischievous friends hiding around the car! You just have to point them out and find them!,車の周りにはいたずら好きな友達が隠れています！見つけてあげましょう！,车子周围肯定藏着淘气的小伙伴！你只需要指出他们，就能找到他们！,Des amis malicieux se cacheront autour de la voiture ! Il suffit de les repérer et de les trouver !,कार के आस-पास कुछ शरारती दोस्त छिपे होंगे! आपको बस उन्हें पहचानना है और उन्हें ढूँढ़ना है!,Вокруг машины будут прятаться озорные друзья! Вам просто нужно указать на них и найти их!,Rund um das Auto verstecken sich spitzbübische Freunde! Du musst sie nur finden!
Mini8,정해진 시간 안에 몇 명을 찾아볼 수 있을까?!,How many people can you find within the given time?!,与えられた時間内に何人見つけられるか？,在规定时间内你能找到多少人？！,Combien de personnes pouvez-vous trouver dans le temps imparti ?!,दिए गए समय में आप कितने लोगों को ढूंढ सकते हैं?,Сколько людей вы сможете найти за отведенное время?!,Wie viele Personen können Sie in der vorgegebenen Zeit finden?!
Mini9,그럼~ 준비 되었어?!,So~ are you ready?!,さあ〜準備はいいですか？！,那么〜你准备好了吗？！,"Alors, êtes-vous prêt ?!",तो~ क्या आप तैयार हैं?!,"Ну что, вы готовы?!","Also, bist du bereit?!"
Mini10,수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?,Good job! Let's see how well you found your friends.,よくできました！友達をどれだけうまく見つけられたか見てみましょう。,干得好！让我们看看你找到朋友的进展如何。,Bravo ! Voyons si tu as réussi à trouver tes amis.,बहुत बढ़िया! देखते हैं आपको अपने दोस्त कितने अच्छे लगते हैं।,"Хорошая работа! Посмотрим, насколько хорошо ты нашел своих друзей.","Gut gemacht! Mal sehen, wie gut du deine Freunde gefunden hast."
Mini11,오~ 잘 찾았는걸?! 정말 잘했어! 근데... 이 친구는 아주 제대로 숨어 있었지?,"Oh~ You found it?! You did a great job! But... this guy was hiding really well, right?",おお～見つかったの！？すごいね！でも…こいつ、すごくうまく隠れてたよね？,哦~找到了？！干得漂亮！不过……这家伙藏得真好，对吧？,"Oh~ Tu l'as trouvé ?! Tu as fait du bon travail ! Mais… ce type se cachait vraiment bien, pas vrai ?","ओह~ तुम्हें मिल गया?! तुमने बहुत बढ़िया काम किया! लेकिन... यह आदमी वाकई बहुत अच्छी तरह छिपा हुआ था, है न?","О~ Ты нашел его?! Ты проделал большую работу! Но... этот парень очень хорошо спрятался, да?","Oh~ Du hast es gefunden?! Super gemacht! Aber... der Kerl hat sich echt gut versteckt, oder?"
Mini12,"그럼 이제, 아직까지 잘 숨어 있는 친구들은 어디 있었는지 확인해볼까?","So now, let's check where our friends who have been hiding well until now are?",さあ、今までうまく隠れていた友達はどこにいるか確認してみましょう。,那么现在，我们来看看一直躲藏得很好的朋友们在哪里？,"Alors maintenant, vérifions où sont nos amis qui se sont bien cachés jusqu'à présent ?","तो अब, आइए देखें कि हमारे वे मित्र जो अब तक छिपे हुए थे, कहां हैं?","Итак, давайте проверим, где же наши друзья, которые до сих пор хорошо прятались?","Schauen wir also jetzt nach, wo unsere Freunde sind, die sich bisher gut versteckt haben."
Mini13,이처럼 친구들이 숨어있을 때 자동차가 움직였으면 정말 위험했을 거야.,"If the car had moved while my friends were hiding like this, it would have been really dangerous.",友達がこのように隠れている間に車が動いていたとしたら、本当に危険だったでしょう。,如果当我的朋友们这样躲藏的时候，汽车开动了，那就真的很危险了。,"Si la voiture avait bougé pendant que mes amis se cachaient comme ça, cela aurait été vraiment dangereux.",अगर मेरे दोस्त इस तरह छिपे हुए थे और कार हिल गई होती तो यह बहुत खतरनाक हो जाता।,"Если бы машина двинулась с места, пока мои друзья прятались, это было бы действительно опасно.","Wenn sich das Auto bewegt hätte, während meine Freunde sich so versteckt hielten, wäre es wirklich gefährlich gewesen."
Mini14,이제 사각지대가 얼마나 위험한지 잘 알겠지?,"Now you know how dangerous blind spots can be, right?",死角がいかに危険であるかお分かりいただけたでしょうか?,现在你知道盲点有多危险了吧？,"Vous savez maintenant à quel point les angles morts peuvent être dangereux, n’est-ce pas ?","अब आप जानते हैं कि अंधे स्थान कितने खतरनाक हो सकते हैं, है ना?","Теперь вы знаете, насколько опасными могут быть слепые зоны, верно?","Jetzt wissen Sie, wie gefährlich tote Winkel sein können, oder?"
Mini15,이제 너도 사각지대 전문가야~!,Now you're a blind spot expert!,これであなたも死角の専門家です！,现在您是盲点专家了！,Vous êtes désormais un expert des angles morts !,अब आप अंध स्थान विशेषज्ञ हैं!,Теперь вы эксперт по слепым зонам!,Jetzt sind Sie ein Experte für den toten Winkel!
Mini16,"그럼, 다음 장소로 가보자!","Well then, let's go to the next place!",さて、次の場所へ行きましょう！,那么，我们去下一个地方吧！,"Bon alors, passons à l'endroit suivant !","तो फिर चलो, अगली जगह चलते हैं!","Ну что ж, пойдем в следующее место!","Na dann, auf zum nächsten Ort!"
Mini17,주위를 한번 둘러봐!,Take a look around!,周りを見回してみましょう!,看看周围！,Regardez autour de vous !,चारों ओर एक नज़र रखना!,Оглянитесь вокруг!,Schauen Sie sich um!
Str_Announce_Chapter2_4,잘했어! 최고야!,Good job! You're the best!,よくやった！君は最高だ！,干得好！你太棒了！,Bravo ! Tu es le meilleur !,बहुत बढ़िया! आप सबसे अच्छे हैं!,Отличная работа! Ты лучший!,Gute Arbeit! Du bist der Beste!
Str_Announce_Chapter2_5,"골목길 안전 보행 미션 완료! 이제 골목길에서도 스스로 잘 건널 수 있겠는걸?
좋아~ 다음 학습으로 떠나볼까?","Alleyway safe walking mission completed! Now you can cross the alleyway by yourself, right? 
Alright~ Shall we move on to the next lesson?","路地裏安全歩行ミッション完了！これで一人で路地裏を渡れるようになりましたね？
さあ～次のレッスンに進みましょうか？","小巷安全行走任务完成！现在你可以自己穿过小巷了，对吧？
好了~我们继续下一课吧？","Mission de marche en toute sécurité dans la ruelle terminée ! Vous pouvez maintenant traverser la ruelle tout seul, n'est-ce pas ?

Bien ! On passe à la leçon suivante ?","गली में सुरक्षित चलने का मिशन पूरा हो गया! अब आप गली को खुद ही पार कर सकते हैं, है न?
ठीक है~ क्या हम अगले पाठ पर आगे बढ़ें?","Миссия по безопасному переулку выполнена! Теперь вы можете перейти переулок самостоятельно, верно? 
Хорошо~ Перейдем к следующему уроку?","Mission „Sicheres Gehen durch die Gasse“ abgeschlossen! Jetzt kannst du die Gasse alleine überqueren, oder?

Okay, wollen wir mit der nächsten Lektion fortfahren?"
Str_Announce_Chapter2_Minigame_1,"이번엔 아주 특별한 체험을 준비했어!
차량에는 사각지대라는 게 있대!
얼마나 잘 안 보이는지 직접 확인해보자!","This time, I've prepared a very special experience! 
There's something called a blind spot in a car! 
Let's see for yourself how hard it is to see!","今回は、とっておきの体験をご用意しました！
車には死角というものがあります！
どれだけ見えにくいか、実際に体験してみましょう！","这次，我准备了一次非常特别的体验！
车里有个东西叫盲点！
让我们亲眼看看，看得见有多难！","Cette fois, je vous ai préparé une expérience vraiment spéciale !
Il existe ce qu'on appelle un angle mort dans une voiture !
Voyons par vous-même à quel point il est difficile de voir !","इस बार, मैंने एक बहुत ही खास अनुभव तैयार किया है!

कार में एक ब्लाइंड स्पॉट नाम की चीज होती है!

चलिए खुद ही देख लेते हैं कि इसे देखना कितना मुश्किल है!","На этот раз я приготовил совершенно особенный опыт! 
В машине есть нечто, называемое слепой зоной! 
Давайте сами посмотрим, насколько сложно что-то увидеть!","Dieses Mal habe ich ein ganz besonderes Erlebnis vorbereitet!
Es gibt so etwas wie einen toten Winkel im Auto!
Überzeugen Sie sich selbst, wie schwer es ist, etwas zu sehen!"
Str_Announce_Chapter2_Minigame_2,"사각지대는, 운전자 시야로는 보이지 않는 공간이야.
창문으로도, 거울로도 잘 안 보여서…
친구가 거기 있으면 정말 위험해.
그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!","Blind spots are spaces that cannot be seen by the driver. 
You can't see them well through the windows or mirrors... 
It's really dangerous if your friend is there. 
So from now on, you're going to check it with your own eyes!","死角とは、運転者から見えない空間のことです。
窓やミラーからではよく見えません…
友達がそこにいたら、本当に危険です。
だから、これからは自分の目で確認しましょう！","盲点是指驾驶员无法看到的空间。
你无法通过车窗或后视镜清楚地看到它们……
如果你的朋友在那里，那就真的很危险了。
所以从现在开始，你必须亲眼检查！","Les angles morts sont des espaces invisibles pour le conducteur. 
On ne les voit pas bien à travers les vitres ou les rétroviseurs… 
C'est vraiment dangereux si un ami s'y trouve. 
Alors, à partir de maintenant, vous allez vérifier de vos propres yeux !","ब्लाइंड स्पॉट ऐसी जगहें होती हैं जिन्हें ड्राइवर नहीं देख सकता।
आप उन्हें खिड़कियों या शीशों से ठीक से नहीं देख सकते...
अगर आपका दोस्त वहां मौजूद है तो यह वाकई खतरनाक है।
तो अब से, आप इसे अपनी आँखों से जाँचेंगे!","Слепые зоны — это пространства, которые водитель не может видеть. 
Вы не можете хорошо видеть их через окна или зеркала... 
Это действительно опасно, если там находится ваш друг. 
Так что с этого момента вы будете проверять это собственными глазами!","Tote Winkel sind Bereiche, die der Fahrer nicht einsehen kann.
Durch Fenster oder Spiegel sieht man sie nicht gut.

Es ist wirklich gefährlich, wenn ein Freund dabei ist.
Also überprüfe es ab jetzt mit eigenen Augen!"
Str_Announce_Chapter2_Minigame_3,"사각지대가 얼마나 잘 안 보이는지, 간단한 게임으로 직접 느껴볼까?
차량 주변에 장난꾸러기 친구들이 숨어 있을 거야!
너가 지목해서 찾아내면 돼!
정해진 시간 안에 몇 명을 찾아볼 수 있을까?!
그럼~ 준비 되었어?!","How hard is it to see the blind spot? Let's experience it for yourself with a simple game. 
There will be mischievous friends hiding around the car! 
You have to point them out and find them! 
How many can you find in the given time?! 
So~ Are you ready?!","死角を見つけるのはどれくらい難しいでしょうか？簡単なゲームで体験してみましょう。
車の周りにはいたずら好きな友達が隠れています！
彼らを見つけて見つけてください！
制限時間内に何匹見つけられるでしょうか？！
さあ～準備はいいですか？！","发现盲点有多难？让我们通过一个简单的游戏来亲身体验一下。
汽车周围会藏着一些淘气的小伙伴！
你必须指出他们并找到他们！
在规定时间内，你能找到多少个？！
那么~你准备好了吗？！","Est-il difficile de voir l'angle mort ? Voyons-le par vous-même avec un jeu simple.

Des amis malicieux se cacheront autour de la voiture !

Il faut les repérer et les trouver !

Combien parviendrez-vous à en trouver dans le temps imparti ?

Alors, prêt ?!","ब्लाइंड स्पॉट को देखना कितना मुश्किल है? आइए एक सरल खेल के साथ खुद इसका अनुभव करें।
कार के आस-पास शरारती दोस्त छिपे होंगे!
आपको उन्हें इंगित करना होगा और उन्हें ढूँढ़ना होगा!
आप दिए गए समय में कितने ढूँढ़ सकते हैं?!
तो~ क्या आप तैयार हैं?!","Насколько сложно увидеть слепую зону? Давайте испытаем это сами с помощью простой игры. 
Вокруг машины будут прятаться озорные друзья! 
Вам нужно указать на них и найти их! 
Сколько вы сможете найти за отведенное время?! 
Итак~ Вы готовы?!","Wie schwer ist es, den toten Winkel zu erkennen? Überzeuge dich selbst mit einem einfachen Spiel.

Es werden sich schelmische Freunde rund ums Auto verstecken!

Du musst sie finden!

Wie viele schaffst du in der vorgegebenen Zeit?

Bist du bereit?"
Str_Announce_Chapter2_Minigame_4,"수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?
오~ 잘 찾았는걸?! 정말 잘했어!
근데... 이 친구는 아주 제대로 숨어 있었지?","Good job! Let's see how well you found your friends. 
Oh~ You found them?! You did a great job! 
But... This friend hid really well, right?","よくできました！友達をどれだけうまく見つけたか見てみましょう。
あら～、見つけたの！すごいね！
でも…この友達、すごくうまく隠れてたよね？","干得好！看看你找到朋友的进度。
哦~你找到他们了？！你干得太棒了！
不过……这位朋友藏得真好，对吧？","Bien joué ! Voyons voir si tu as bien trouvé tes amis.
Oh~ Tu les as trouvés ?! Tu as fait du bon travail !
Mais… Cet ami s'est vraiment bien caché, non ?","बढ़िया काम! देखते हैं कि आपने अपने दोस्तों को कितनी अच्छी तरह से ढूंढा।
ओह~ आपने उन्हें ढूंढ लिया?! आपने बहुत बढ़िया काम किया!
लेकिन... यह दोस्त वाकई बहुत अच्छी तरह से छिपा है, है न?","Хорошая работа! Посмотрим, как хорошо ты нашёл своих друзей. 
О~ Ты нашёл их?! Ты отлично поработал! 
Но... Этот друг очень хорошо спрятался, да?","Gut gemacht! Mal sehen, wie gut du deine Freunde gefunden hast.
Oh, du hast sie gefunden?! Super gemacht!
Aber ... dieser Freund hat sich echt gut versteckt, oder?"
Str_Announce_Chapter2_Minigame_5,"그럼 이제, 아직까지 잘 숨어 있는
친구들은 어디 있었는지 확인해볼까?
이처럼 친구들이 숨어있을 때
자동차가 움직였으면 정말 위험했을 거야.
이제 사각지대가 얼마나 위험한지 잘 알겠지?","Now, let's check where our friends who are still well hidden are? 
If the car had moved while our friends were hiding like this, it would have been really dangerous. 
Now you know how dangerous blind spots are, right?","さて、まだしっかり隠れている仲間はどこにいるか確認しましょうか？
もし仲間たちがこうやって隠れている間に車が動いていたら、本当に危険でした。
これで死角がどれだけ危険かお分かりいただけたでしょうか？","现在，我们来看看那些藏得很好的朋友在哪里？
如果车子在我们朋友这样躲着的时候移动了，那就真的很危险了。
现在你知道盲点有多危险了吧？","Maintenant, voyons où sont nos amis encore bien cachés ?
Si la voiture avait bougé pendant que nos amis se cachaient comme ça, ça aurait été vraiment dangereux.
Vous savez maintenant à quel point les angles morts sont dangereux, n'est-ce pas ?","अब, आइए देखें कि हमारे दोस्त जो अभी भी छिपे हुए हैं, वे कहाँ हैं?
अगर हमारे दोस्त इस तरह छिपे हुए थे और कार आगे बढ़ गई होती, तो यह वाकई खतरनाक होता।
अब आप जानते हैं कि ब्लाइंड स्पॉट कितने खतरनाक होते हैं, है न?","Теперь давайте проверим, где находятся наши друзья, которые все еще хорошо спрятались? 
Если бы машина двинулась, пока наши друзья прятались, это было бы действительно опасно. 
Теперь вы знаете, насколько опасны слепые зоны, верно?","Schauen wir doch mal nach, wo unsere Freunde sind, die sich noch gut versteckt haben.

Hätte sich das Auto bewegt, während unsere Freunde sich so versteckt hielten, wäre es wirklich gefährlich gewesen.

Du weißt doch, wie gefährlich tote Winkel sind, oder?"
Str_Announce_Chapter2_Minigame_6,"이제 너도 사각지대 전문가야~!
그럼, 다음 장소로 가보자!","Now you're a blind spot expert~! 
Then, let's go to the next location!","これであなたも死角発見の達人～！
さあ、次の場所へ！",现在你就是盲点专家了~！那么，我们去下一个地点吧！,"Vous êtes désormais un expert des angles morts !

Allons donc à l'endroit suivant !","अब आप ब्लाइंड स्पॉट विशेषज्ञ हैं~! 
तो, चलिए अगले स्थान पर चलते हैं!","Теперь ты эксперт по слепым зонам~! 
Тогда, перейдем к следующему месту!","Jetzt bist du ein Experte für tote Winkel!
Dann auf zum nächsten Ort!"
